"A1","Plats cuisinés"
"A2","Volaille: rôtis cuits, paupiettes cuites ou précuites"
"A3","Viandes de volailles triées ayant subi un traitement thermique en l'état"
"A5","Produits de charcuterie cuite conditionnés à la distribution, plats"
"A6","Produits de boulangerie surgelés destinés à être cuits"
"B1","Viandes hachées, préparations de viandes et morceaux de moins de 100 g"
"B2","Viandes: Portions unitaires conditionnées, réfrigérées ou congelées et"
"B3","Sang frais à la saignée"
"B4","Sang frais et produits de sang manipulés"
"B5","Viande crue séparée mécaniquement de bovin"
"B6","Viande crue séparée mécaniquement de volailles et de porc"
"B7","Toutes viandes crues séparées méc. traitées par rayonnements ionisants"
"B8","Viandes hachées crues conditionnées sous vide à la DLC"
"B9","Viandes attendries à l'avance"
"C1","Jambon cuit entier"
"C2","Aliments diététiques et de régime de l'enfance"
"C3","Préparations diététiques pour l'allaitement des nourissons"
"C4","Aliments diététiques de l'enfance"
"C5","Aliments diététiques de l'enfance prêts à l'emploi"
"C6","Aliments lactés diététiques (Arrêté du 30/03/78-JO du 24/05/78)"
"C7","Additifs à but diététique"
"C8","Hydrolysats de protéines dans la fabrication des aliments diététiques"
"D1","Carcasses ou coupes de demi-gros réfrigérées ou congelées"
"D2","Gibiers entiers ou coupes de demi-gros réfrigérés ou congelés"
"E1","Pièces de viandes conditionnées sous vide ou non, réfrigérées ou congelées"
"F1","Pièces de découpe crues de volailles conditionnées ou non"
"F2","Paupiettes de volailles crues, produits panés"
"F3","Produits de salaison crus, salés et/ou séchés, tranchés ou non"
"F4","Produits de charcuterie crus, hachés à consommer après cuisson"
"F5","Volailles entières réfrigérées ou surgelées"
"F6","Abats crus de volailles autres que le foie gras conditionnés ou non"
"F7","Pièces de découpes de volailles fumées, salées conditionnées sous vide"
"F8","Rotis, Escalopes, Découpes de volailles crus avec fromage"
"F9","Viandes de volailles triées avant traitement thermique"
"G1","Produits de charcuterie crus hachés soumis à dessiccation et à consommer"
"G2","Foie gras cru de canard ou d'oie, nu ou conditionné sous vide ou non"
"H1","Crustacés entiers cuits réfrigérés autres que crevettes"
"H2","Poissons tranchés panés ou non, filets de poissons congelés ou surgelés"
"H3","Poissons tranchés panés ou non, filets de poissons, encornets congelés"
"I1","Crustacés crus entiers ou décortiqués congelés ou surgelés"
"I2","Crustacés entiers cuits y compris crevettes cuites congelés ou surgelés"
"J1","Crevettes cuites décortiquées, réfrigérées ou surgelées"
"J2","Préparation à base de chair de poisson hachée crue état frais"
"J3","Coquilles St Jacques et moules précuites"
"J4","Préparations à base de chair de poisson hachée crue, avec fromage, crème"
"J5","Préparation a base de chair de poisson hachée crue congelée ou surgelée"
"K1","Coquillages bivalves, oursins vivants, noix de St Jacques fraiches"
"K3","Casino: Salades crues (arrêté du 22 mars 93)"
